key,fr_FR,es_ES,it_IT,pt_PT,en_GB
Projet de commande Printbox,Projet de commande Printbox,Projet de commande Printbox,Printbox projetto,,Projet de commande Printbox
Printboxer,Printboxer,,Printboxer,,Printboxer
Client Final Printboxer,Client Final,Client Final,Finalo client,Cliente Final,Client Final
Accuse de reception de commande Printbox,Accusé de réception de commande Printbox,Referencia,Riferimento,Aviso de receção do pedido,Reference
Conditions generales,"Si une de ces indications ne vous parait pas correcte, merci de nous le signaler le plus rapidement possible à l'adresse suivante : %link1%. Les commandes sont validées par le pôle Administration des Ventes jusqu'à 18H chaque jour ouvré. Après cet horaire, elles sont enregistrées le jour ouvré suivant. Notre délai catalogue court à compter de la réception de votre règlement et de votre fichier ou à compter de la validation de votre bon à tirer si vous avez opté pour cette option. Si une anomalie fichier vous est notifiée par le pôle PAO, le délai courra à compter de la date du déblocage de votre fichier. Pour suivre l'avancée de votre commande, vous pouvez vous connecter sur notre site extranet onglet « suivi ». Nos conditions générales de vente sont consultables en ligne à l’adresse : %link2%","Si alguno de estas indicaciones, no es correcta para usted, notifíquenoslo lo antes posible, en la siguiente dirección:%link1%. Los pedidos son validados por Administración hasta las 18H de cada día hábil. Después de las 18h, se validan al día siguiente hábil. Nuestro tiempo de entrega del catálogo empieza a contar después de la recepción de su pago y su archivo o de la confirmación de su pedido si elige esta opción. Si existe alguna anomalía en el archivo le será notificado por nuestro departamento de Preimpresión, el tiempo de entrega contará a partir de la fecha de validación de su archivo. Para hacer el seguimiento de su pedido, usted puede iniciar sesión en nuestra web e ir a la pestaña de ""seguimiento"". Nuestras condiciones generales de venta están disponibles en: %link2%","Se una di queste indicazioni non vi risulta corretta, vi preghiamo di comunicarcelo il prima possibile al seguente indirizzo: %link1%. Gli ordini vengono convalidati dall’ufficio Amministrativo entro le 18.00h di ogni giorno lavorativo. Oltre quest’orario, gli ordini verranno registrati il giorno seguente. La tempistica si calcola dal momento in cui riceviamo il vostro pagamento e i vostri file, o nel momento di convalida della prova colore, nel caso in cui aveste selezionato questo servizio. Se si verifica un problema con il file, vi verrà comunicato dall’ufficio Prestampa, e i tempi si conteranno a partire dallo sblocco dei vostri file. Potete monitorare lo status del vostro ordine connettendovi sul vostro account nella sezione ORDINI, I VOSTRI ORDINI, DETTAGLIO DEL VOSTRO ORDINE. Troverete le nostre condizioni di vendita all’indirizzo: %link2%","Se algum destes dados não está correto, avise-nos o mais rápido possível para o seguinte endereço: %link1%. Os pedidos são validados pelo departamento administrativo até às 17h de cada dia útil. Depois das 17h, são validados no dia útil seguinte. O nosso tempo de entrega do catálogo começa a contar depois da receção do seu pagamento e ficheiro ou da confirmação da sua prova de papel, se tiver escolhido esta opção. Se existir alguma anomalia no ficheiro será avisado pelo departamento de Pré-impressão, o tempo de entrega contará a partir da data de validação do seu ficheiro. Para fazer o seguimento do seu pedido, deve iniciar sessão na nossa página e escolher a opção ""seguimento"". As nossas condições gerais de venda estão disponíveis em: %link2%","If any of this information is incorrect, please notify us as soon as possible at %link1%. Orders are accepted up until 6pm every working day, if they arrive with us after that time, they are considered to have arrived the next day. There will be a delay compared to the timings indicated in our catalogue if you choose to have a printed proof sent to you, or if there is a delay receiving your payment or your artwork files. If we identify issues with your artwork then we will be delayed by the amount of time it takes to receive print ready files. You can follow the progress of your order on-line by clicking the ""Tracking"" tab. Our general conditions of sale are available on the footer of our website %link2%"
En signant ce formulaire,"En signant ce formulaire de mandat, vous autorisez (A) {NOM DU CREANCIER} à envoyer des instructions à votre banque pour débiter votre compte, et (B) votre banque à débiter votre compte conformément aux instructions de {NOM DU CREANCIER}.","Al firmar este formulario de domiciliación, usted autoriza a (A) {NOM DU CREANCIER} para enviar la orden a su banco para pagar de su cuenta, y (B) a su banco para liquidar de su cuenta de acuerdo con la orden de {NOM DU CREANCIER}.","Firmando questo modulo, autorizzate (A) {NOM DU CREANCIER} a inviare istruzioni alla vostra banca per l'addebito sul vostro conto, (B) la vostra banca ad eseguire l'addebito secondo le disposizioni impartite dal {NOM DU CREANCIER}.","Ao subscrever esta autorização, está a autorizar (A) (NOME DO CREDOR) a enviar instruções ao seu Banco para debitar a sua conta e (B) o seu Banco a debitar a sua conta, de acordo com as instruções de (NOME DO CREDOR)",
Poids,Poids,Peso,Peso,Peso,Weight
valeur_,350g Mat Condat Périgord,350gr mate Condat Perigord,350g opaca Condat Périgord,350g Mate Condat Perigord,350gsm Silk Coated
Delai production,Délai de production,Plazo,Tempistiche,Prazo,Lead Time
Unite Jours,jours,dias,giorni,dias,days
Net a payer,Neto a pagar,Saldo,Netto da pagare,Saldo pendente,
